direction,metric,layer,value
San→Hin,enc_content_frac,1,0.93
San→Hin,enc_content_frac,2,0.9473
San→Hin,enc_content_frac,3,0.9589
San→Hin,enc_content_frac,4,0.9606
San→Hin,enc_content_frac,5,0.9496
San→Hin,enc_content_frac,6,0.947
San→Hin,enc_content_frac,7,0.946
San→Hin,enc_content_frac,8,0.9509
San→Hin,enc_content_frac,9,0.9606
San→Hin,enc_content_frac,10,0.9638
San→Hin,enc_content_frac,11,0.964
San→Hin,enc_content_frac,12,0.9653
San→Hin,dec_cross_frac,1,0.9848
San→Hin,dec_cross_frac,2,0.9799
San→Hin,dec_cross_frac,3,0.9822
San→Hin,dec_cross_frac,4,0.982
San→Hin,dec_cross_frac,5,0.9868
San→Hin,dec_cross_frac,6,0.9842
San→Hin,dec_cross_frac,7,0.9861
San→Hin,dec_cross_frac,8,0.9882
San→Hin,dec_cross_frac,9,0.9775
San→Hin,dec_cross_frac,10,0.9684
San→Hin,dec_cross_frac,11,0.9657
San→Hin,dec_cross_frac,12,0.9645
San→Hin,dec_self_ent,1,0.9514
San→Hin,dec_self_ent,2,0.7385
San→Hin,dec_self_ent,3,0.7595
San→Hin,dec_self_ent,4,0.9365
San→Hin,dec_self_ent,5,0.7565
San→Hin,dec_self_ent,6,0.8555
San→Hin,dec_self_ent,7,0.7716
San→Hin,dec_self_ent,8,0.7861
San→Hin,dec_self_ent,9,0.8409
San→Hin,dec_self_ent,10,0.8395
San→Hin,dec_self_ent,11,0.7567
San→Hin,dec_self_ent,12,0.809
San→Kan,enc_content_frac,1,0.9312
San→Kan,enc_content_frac,2,0.9486
San→Kan,enc_content_frac,3,0.961
San→Kan,enc_content_frac,4,0.9614
San→Kan,enc_content_frac,5,0.9529
San→Kan,enc_content_frac,6,0.9518
San→Kan,enc_content_frac,7,0.9501
San→Kan,enc_content_frac,8,0.9545
San→Kan,enc_content_frac,9,0.9631
San→Kan,enc_content_frac,10,0.9673
San→Kan,enc_content_frac,11,0.9671
San→Kan,enc_content_frac,12,0.9685
San→Kan,dec_cross_frac,1,0.9865
San→Kan,dec_cross_frac,2,0.9809
San→Kan,dec_cross_frac,3,0.9821
San→Kan,dec_cross_frac,4,0.9812
San→Kan,dec_cross_frac,5,0.9871
San→Kan,dec_cross_frac,6,0.9858
San→Kan,dec_cross_frac,7,0.9871
San→Kan,dec_cross_frac,8,0.9885
San→Kan,dec_cross_frac,9,0.9818
San→Kan,dec_cross_frac,10,0.9757
San→Kan,dec_cross_frac,11,0.9731
