direction,view,layer,span,fraction
San→Hin,all,1,pre_instr,0.0062
San→Hin,all,1,instruction,0.02491
San→Hin,all,1,src,0.11333
San→Hin,all,1,post_src,0.09446
San→Hin,all,1,tgt_self,0.46602
San→Hin,all,2,pre_instr,0.03505
San→Hin,all,2,instruction,0.09233
San→Hin,all,2,src,0.18574
San→Hin,all,2,post_src,0.13418
San→Hin,all,2,tgt_self,0.48379
San→Hin,all,3,pre_instr,0.25791
San→Hin,all,3,instruction,0.221
San→Hin,all,3,src,0.15317
San→Hin,all,3,post_src,0.07102
San→Hin,all,3,tgt_self,0.26758
San→Hin,all,4,pre_instr,0.28711
San→Hin,all,4,instruction,0.24189
San→Hin,all,4,src,0.14148
San→Hin,all,4,post_src,0.04836
San→Hin,all,4,tgt_self,0.2498
San→Hin,all,5,pre_instr,0.28633
San→Hin,all,5,instruction,0.2375
San→Hin,all,5,src,0.13682
San→Hin,all,5,post_src,0.02679
San→Hin,all,5,tgt_self,0.26484
San→Hin,all,6,pre_instr,0.29199
San→Hin,all,6,instruction,0.23965
San→Hin,all,6,src,0.12
San→Hin,all,6,post_src,0.04871
San→Hin,all,6,tgt_self,0.24014
San→Hin,all,7,pre_instr,0.21445
San→Hin,all,7,instruction,0.17505
San→Hin,all,7,src,0.13364
San→Hin,all,7,post_src,0.05038
San→Hin,all,7,tgt_self,0.32988
San→Hin,all,8,pre_instr,0.61719
San→Hin,all,8,instruction,0.00934
San→Hin,all,8,src,0.06628
San→Hin,all,8,post_src,0.03898
San→Hin,all,8,tgt_self,0.2126
San→Hin,all,9,pre_instr,0.56523
San→Hin,all,9,instruction,0.02731
San→Hin,all,9,src,0.13721
San→Hin,all,9,post_src,0.02999
San→Hin,all,9,tgt_self,0.18545
San→Hin,all,10,pre_instr,0.6293
San→Hin,all,10,instruction,0.02159
San→Hin,all,10,src,0.15952
San→Hin,all,10,post_src,0.01823
San→Hin,all,10,tgt_self,0.12632
San→Hin,all,11,pre_instr,0.57891
San→Hin,all,11,instruction,0.02084
San→Hin,all,11,src,0.11279
San→Hin,all,11,post_src,0.03401
San→Hin,all,11,tgt_self,0.18613
San→Hin,all,12,pre_instr,0.4877
