direction,layer,total_mass
San→Hin,1,0.70492
San→Hin,2,0.93109
San→Hin,3,0.97068
San→Hin,4,0.96865
San→Hin,5,0.95228
San→Hin,6,0.94048
San→Hin,7,0.90341
San→Hin,8,0.94438
San→Hin,9,0.94519
San→Hin,10,0.95495
San→Hin,11,0.93268
San→Hin,12,0.94993
San→Hin,13,0.94083
San→Hin,14,0.96816
San→Hin,15,0.92693
San→Hin,16,0.94892
San→Hin,17,0.94075
San→Hin,18,0.93615
San→Hin,19,0.94992
San→Hin,20,0.95507
San→Hin,21,0.94202
San→Hin,22,0.9474
San→Hin,23,0.89888
San→Hin,24,0.9352
San→Hin,25,0.93714
San→Hin,26,0.95632
San→Hin,27,0.98206
San→Hin,28,0.97235
San→Hin,29,0.93942
San→Hin,30,0.9905
San→Hin,31,0.97128
San→Hin,32,0.96902
San→Hin,33,0.96817
San→Hin,34,0.97675
San→Hin,35,0.93484
San→Hin,36,0.89297
San→Kan,1,0.70707
San→Kan,2,0.94484
San→Kan,3,0.97666
San→Kan,4,0.96932
San→Kan,5,0.96664
San→Kan,6,0.94371
San→Kan,7,0.91292
San→Kan,8,0.94688
San→Kan,9,0.95537
San→Kan,10,0.9585
San→Kan,11,0.93782
San→Kan,12,0.95104
San→Kan,13,0.94191
San→Kan,14,0.96977
San→Kan,15,0.93233
San→Kan,16,0.95135
San→Kan,17,0.94612
San→Kan,18,0.93568
San→Kan,19,0.9549
San→Kan,20,0.95911
San→Kan,21,0.94153
San→Kan,22,0.94925
San→Kan,23,0.89963
San→Kan,24,0.94007
San→Kan,25,0.94859
San→Kan,26,0.96161
San→Kan,27,0.98581
San→Kan,28,0.98014
San→Kan,29,0.95494
San→Kan,30,0.99155
San→Kan,31,0.98299
San→Kan,32,0.98168
San→Kan,33,0.97893
San→Kan,34,0.9858
San→Kan,35,0.95487
San→Kan,36,0.90995
Hin→San,1,0.70849
Hin→San,2,0.93767
Hin→San,3,0.97363
Hin→San,4,0.97107
Hin→San,5,0.95281
Hin→San,6,0.93862
Hin→San,7,0.91382
Hin→San,8,0.94839
Hin→San,9,0.95181
Hin→San,10,0.95718
Hin→San,11,0.93254
Hin→San,12,0.95032
Hin→San,13,0.94103
Hin→San,14,0.96958
Hin→San,15,0.92897
Hin→San,16,0.95276
Hin→San,17,0.9429
Hin→San,18,0.93895
Hin→San,19,0.95364
Hin→San,20,0.96179
Hin→San,21,0.94575
Hin→San,22,0.9496
Hin→San,23,0.90118
Hin→San,24,0.94226
Hin→San,25,0.93925
Hin→San,26,0.9574
Hin→San,27,0.98355
Hin→San,28,0.97821
Hin→San,29,0.95385
Hin→San,30,0.99181
Hin→San,31,0.97879
Hin→San,32,0.98032
Hin→San,33,0.97407
Hin→San,34,0.97678
Hin→San,35,0.93599
Hin→San,36,0.88503
Hin→Kan,1,0.70738
Hin→Kan,2,0.94664
Hin→Kan,3,0.97671
Hin→Kan,4,0.971
Hin→Kan,5,0.96933
Hin→Kan,6,0.94616
Hin→Kan,7,0.91188
Hin→Kan,8,0.94769
Hin→Kan,9,0.95326
Hin→Kan,10,0.95902
Hin→Kan,11,0.9377
Hin→Kan,12,0.9512
Hin→Kan,13,0.94503
Hin→Kan,14,0.97381
Hin→Kan,15,0.9352
Hin→Kan,16,0.95476
Hin→Kan,17,0.94952
Hin→Kan,18,0.93853
Hin→Kan,19,0.95889
Hin→Kan,20,0.96267
Hin→Kan,21,0.94461
Hin→Kan,22,0.95372
Hin→Kan,23,0.90348
Hin→Kan,24,0.94375
Hin→Kan,25,0.95021
Hin→Kan,26,0.96284
Hin→Kan,27,0.98728
Hin→Kan,28,0.98075
Hin→Kan,29,0.95633
Hin→Kan,30,0.99234
Hin→Kan,31,0.98302
Hin→Kan,32,0.98179
Hin→Kan,33,0.98151
Hin→Kan,34,0.98759
Hin→Kan,35,0.95746
Hin→Kan,36,0.9137
Kan→San,1,0.70925
Kan→San,2,0.937
Kan→San,3,0.97049
Kan→San,4,0.96788
Kan→San,5,0.95113
Kan→San,6,0.9326
Kan→San,7,0.90287
Kan→San,8,0.94371
Kan→San,9,0.95041
Kan→San,10,0.95641
Kan→San,11,0.9294
Kan→San,12,0.94592
Kan→San,13,0.93893
Kan→San,14,0.96627
Kan→San,15,0.92748
Kan→San,16,0.94882
Kan→San,17,0.94219
Kan→San,18,0.93129
Kan→San,19,0.95182
Kan→San,20,0.95656
Kan→San,21,0.94267
Kan→San,22,0.94495
Kan→San,23,0.89614
Kan→San,24,0.93666
Kan→San,25,0.93665
Kan→San,26,0.95716
Kan→San,27,0.98344
Kan→San,28,0.97853
Kan→San,29,0.95082
Kan→San,30,0.99207
Kan→San,31,0.97707
Kan→San,32,0.9801
Kan→San,33,0.97272
Kan→San,34,0.97556
Kan→San,35,0.93417
Kan→San,36,0.88223
Kan→Hin,1,0.71411
Kan→Hin,2,0.93789
Kan→Hin,3,0.9698
Kan→Hin,4,0.9697
Kan→Hin,5,0.95525
Kan→Hin,6,0.94423
Kan→Hin,7,0.90201
Kan→Hin,8,0.94269
Kan→Hin,9,0.94706
Kan→Hin,10,0.95536
Kan→Hin,11,0.93381
Kan→Hin,12,0.94995
Kan→Hin,13,0.94323
Kan→Hin,14,0.96895
Kan→Hin,15,0.9305
Kan→Hin,16,0.95048
Kan→Hin,17,0.94141
Kan→Hin,18,0.93245
Kan→Hin,19,0.95059
Kan→Hin,20,0.95768
Kan→Hin,21,0.94173
Kan→Hin,22,0.94579
Kan→Hin,23,0.89937
Kan→Hin,24,0.93537
Kan→Hin,25,0.93837
Kan→Hin,26,0.95629
Kan→Hin,27,0.98236
Kan→Hin,28,0.97212
Kan→Hin,29,0.94232
Kan→Hin,30,0.9913
Kan→Hin,31,0.97191
Kan→Hin,32,0.97048
Kan→Hin,33,0.97025
Kan→Hin,34,0.97824
Kan→Hin,35,0.93435
Kan→Hin,36,0.8916
