direction,layer,src_attribution
San→Hin,1,0.11333
San→Hin,2,0.18574
San→Hin,3,0.15317
San→Hin,4,0.14148
San→Hin,5,0.13682
San→Hin,6,0.12
San→Hin,7,0.13364
San→Hin,8,0.06628
San→Hin,9,0.13721
San→Hin,10,0.15952
San→Hin,11,0.11279
San→Hin,12,0.17061
San→Hin,13,0.17568
San→Hin,14,0.28057
San→Hin,15,0.17734
San→Hin,16,0.25586
San→Hin,17,0.23936
San→Hin,18,0.26328
San→Hin,19,0.34355
San→Hin,20,0.20684
San→Hin,21,0.27207
San→Hin,22,0.25557
San→Hin,23,0.13662
San→Hin,24,0.18389
San→Hin,25,0.18164
San→Hin,26,0.05162
San→Hin,27,0.07422
San→Hin,28,0.03923
San→Hin,29,0.08193
San→Hin,30,0.07135
San→Hin,31,0.02159
San→Hin,32,0.01822
San→Hin,33,0.02594
San→Hin,34,0.0391
San→Hin,35,0.03368
San→Hin,36,0.02753
San→Kan,1,0.09575
San→Kan,2,0.15801
San→Kan,3,0.10808
San→Kan,4,0.08301
San→Kan,5,0.08069
San→Kan,6,0.07007
San→Kan,7,0.10464
San→Kan,8,0.05068
San→Kan,9,0.09717
San→Kan,10,0.12017
San→Kan,11,0.08276
San→Kan,12,0.12681
San→Kan,13,0.13604
San→Kan,14,0.23262
San→Kan,15,0.14414
San→Kan,16,0.21133
San→Kan,17,0.18555
San→Kan,18,0.21582
San→Kan,19,0.27129
San→Kan,20,0.16973
San→Kan,21,0.2123
San→Kan,22,0.20752
San→Kan,23,0.10435
San→Kan,24,0.14292
San→Kan,25,0.13555
San→Kan,26,0.03208
San→Kan,27,0.04487
San→Kan,28,0.02338
San→Kan,29,0.05305
San→Kan,30,0.06216
San→Kan,31,0.01232
San→Kan,32,0.01396
San→Kan,33,0.01807
San→Kan,34,0.02338
San→Kan,35,0.02418
San→Kan,36,0.02047
Hin→San,1,0.11284
Hin→San,2,0.19482
Hin→San,3,0.13379
Hin→San,4,0.12861
Hin→San,5,0.11343
Hin→San,6,0.11064
Hin→San,7,0.14517
Hin→San,8,0.06882
Hin→San,9,0.13794
Hin→San,10,0.16348
Hin→San,11,0.10483
Hin→San,12,0.15645
Hin→San,13,0.17578
Hin→San,14,0.2877
Hin→San,15,0.16689
Hin→San,16,0.25098
Hin→San,17,0.23887
Hin→San,18,0.26006
Hin→San,19,0.30469
Hin→San,20,0.20352
Hin→San,21,0.27627
Hin→San,22,0.2416
Hin→San,23,0.13359
Hin→San,24,0.17139
Hin→San,25,0.20332
Hin→San,26,0.04524
Hin→San,27,0.07366
Hin→San,28,0.03759
Hin→San,29,0.08083
Hin→San,30,0.08091
Hin→San,31,0.01956
Hin→San,32,0.02258
Hin→San,33,0.03441
Hin→San,34,0.05171
Hin→San,35,0.04231
Hin→San,36,0.03362
Hin→Kan,1,0.09546
Hin→Kan,2,0.16836
Hin→Kan,3,0.13184
Hin→Kan,4,0.12332
Hin→Kan,5,0.11997
Hin→Kan,6,0.12639
Hin→Kan,7,0.14312
Hin→Kan,8,0.04968
