direction,view,layer,span,fraction
San→Hin,all,1,pre_instr,0.04614
San→Hin,all,1,instruction,0.12305
San→Hin,all,1,src,0.37236
San→Hin,all,1,post_src,0.08496
San→Hin,all,1,tgt_self,0.29014
San→Hin,all,2,pre_instr,0.06729
San→Hin,all,2,instruction,0.02317
San→Hin,all,2,src,0.55996
San→Hin,all,2,post_src,0.06799
San→Hin,all,2,tgt_self,0.18223
San→Hin,all,3,pre_instr,0.04019
San→Hin,all,3,instruction,0.01287
San→Hin,all,3,src,0.65508
San→Hin,all,3,post_src,0.06918
San→Hin,all,3,tgt_self,0.14856
San→Hin,all,4,pre_instr,0.07236
San→Hin,all,4,instruction,0.0117
San→Hin,all,4,src,0.6875
San→Hin,all,4,post_src,0.05862
San→Hin,all,4,tgt_self,0.11436
San→Hin,all,5,pre_instr,0.07649
San→Hin,all,5,instruction,0.01113
San→Hin,all,5,src,0.67812
San→Hin,all,5,post_src,0.04675
San→Hin,all,5,tgt_self,0.12888
San→Hin,all,6,pre_instr,0.16162
San→Hin,all,6,instruction,0.03192
San→Hin,all,6,src,0.55801
San→Hin,all,6,post_src,0.07805
San→Hin,all,6,tgt_self,0.10623
San→Hin,all,7,pre_instr,0.29307
San→Hin,all,7,instruction,0.04335
San→Hin,all,7,src,0.4127
San→Hin,all,7,post_src,0.10498
San→Hin,all,7,tgt_self,0.09792
San→Hin,all,8,pre_instr,0.0772
San→Hin,all,8,instruction,0.02892
San→Hin,all,8,src,0.24629
San→Hin,all,8,post_src,0.11797
San→Hin,all,8,tgt_self,0.18613
San→Hin,first,1,pre_instr,0.05225
San→Hin,first,1,instruction,0.27275
San→Hin,first,1,src,0.49336
San→Hin,first,1,post_src,0.14949
San→Hin,first,1,tgt_self,0.0
San→Hin,first,2,pre_instr,0.06196
San→Hin,first,2,instruction,0.15259
San→Hin,first,2,src,0.53965
San→Hin,first,2,post_src,0.1563
San→Hin,first,2,tgt_self,0.0
San→Hin,first,3,pre_instr,0.03843
San→Hin,first,3,instruction,0.0611
San→Hin,first,3,src,0.71953
San→Hin,first,3,post_src,0.14087
San→Hin,first,3,tgt_self,0.0
San→Hin,first,4,pre_instr,0.06543
San→Hin,first,4,instruction,0.03161
San→Hin,first,4,src,0.73477
San→Hin,first,4,post_src,0.11909
San→Hin,first,4,tgt_self,0.0
San→Hin,first,5,pre_instr,0.06841
San→Hin,first,5,instruction,0.01734
San→Hin,first,5,src,0.80352
San→Hin,first,5,post_src,0.07493
San→Hin,first,5,tgt_self,0.0
San→Hin,first,6,pre_instr,0.1356
San→Hin,first,6,instruction,0.0489
San→Hin,first,6,src,0.61875
San→Hin,first,6,post_src,0.15322
San→Hin,first,6,tgt_self,0.0
San→Hin,first,7,pre_instr,0.23984
San→Hin,first,7,instruction,0.05316
San→Hin,first,7,src,0.49512
San→Hin,first,7,post_src,0.16387
San→Hin,first,7,tgt_self,0.0
San→Hin,first,8,pre_instr,0.05422
San→Hin,first,8,instruction,0.04506
San→Hin,first,8,src,0.32324
San→Hin,first,8,post_src,0.22383
San→Hin,first,8,tgt_self,0.0
San→Hin,later,1,pre_instr,0.04609
San→Hin,later,1,instruction,0.11108
San→Hin,later,1,src,0.35098
San→Hin,later,1,post_src,0.08181
San→Hin,later,1,tgt_self,0.32354
San→Hin,later,2,pre_instr,0.06885
San→Hin,later,2,instruction,0.01562
San→Hin,later,2,src,0.55039
San→Hin,later,2,post_src,0.06019
San→Hin,later,2,tgt_self,0.20225
San→Hin,later,3,pre_instr,0.04091
San→Hin,later,3,instruction,0.01071
San→Hin,later,3,src,0.64258
San→Hin,later,3,post_src,0.06462
San→Hin,later,3,tgt_self,0.16499
San→Hin,later,4,pre_instr,0.07395
San→Hin,later,4,instruction,0.01138
San→Hin,later,4,src,0.67383
San→Hin,later,4,post_src,0.05731
San→Hin,later,4,tgt_self,0.12766
San→Hin,later,5,pre_instr,0.08064
San→Hin,later,5,instruction,0.01161
San→Hin,later,5,src,0.65547
San→Hin,later,5,post_src,0.04594
San→Hin,later,5,tgt_self,0.14382
San→Hin,later,6,pre_instr,0.16445
San→Hin,later,6,instruction,0.03199
San→Hin,later,6,src,0.54355
San→Hin,later,6,post_src,0.07463
San→Hin,later,6,tgt_self,0.11807
San→Hin,later,7,pre_instr,0.30234
San→Hin,later,7,instruction,0.04366
San→Hin,later,7,src,0.39434
San→Hin,later,7,post_src,0.10317
San→Hin,later,7,tgt_self,0.10764
San→Hin,later,8,pre_instr,0.08013
San→Hin,later,8,instruction,0.02729
San→Hin,later,8,src,0.22998
San→Hin,later,8,post_src,0.11206
San→Hin,later,8,tgt_self,0.20645
San→Kan,all,1,pre_instr,0.03926
San→Kan,all,1,instruction,0.11118
San→Kan,all,1,src,0.30225
San→Kan,all,1,post_src,0.06665
San→Kan,all,1,tgt_self,0.3957
San→Kan,all,2,pre_instr,0.07056
San→Kan,all,2,instruction,0.03607
San→Kan,all,2,src,0.53008
San→Kan,all,2,post_src,0.05587
