direction,layer,total_mass
San→Hin,1,0.91665
San→Hin,2,0.90064
San→Hin,3,0.92587
San→Hin,4,0.94454
San→Hin,5,0.94138
San→Hin,6,0.93583
San→Hin,7,0.95201
San→Hin,8,0.65651
San→Kan,1,0.91504
San→Kan,2,0.89941
San→Kan,3,0.92744
San→Kan,4,0.94891
San→Kan,5,0.92917
San→Kan,6,0.92263
San→Kan,7,0.94215
San→Kan,8,0.65114
Hin→San,1,0.93445
Hin→San,2,0.91273
Hin→San,3,0.92603
Hin→San,4,0.94811
Hin→San,5,0.93969
Hin→San,6,0.94019
Hin→San,7,0.95383
Hin→San,8,0.68139
Hin→Kan,1,0.91998
Hin→Kan,2,0.91458
Hin→Kan,3,0.92543
Hin→Kan,4,0.94387
Hin→Kan,5,0.92034
Hin→Kan,6,0.92871
Hin→Kan,7,0.94368
Hin→Kan,8,0.65717
Kan→San,1,0.91364
Kan→San,2,0.90533
Kan→San,3,0.92406
Kan→San,4,0.93625
Kan→San,5,0.91089
Kan→San,6,0.92585
Kan→San,7,0.93933
Kan→San,8,0.65341
Kan→Hin,1,0.925
Kan→Hin,2,0.9059
Kan→Hin,3,0.9268
Kan→Hin,4,0.94225
Kan→Hin,5,0.92626
Kan→Hin,6,0.93862
Kan→Hin,7,0.95269
Kan→Hin,8,0.6532
