direction,metric,layer,value
San→Hin,enc_content_frac,1,0.9342
San→Hin,enc_content_frac,2,0.9503
San→Hin,enc_content_frac,3,0.9599
San→Hin,enc_content_frac,4,0.9626
San→Hin,enc_content_frac,5,0.9484
San→Hin,enc_content_frac,6,0.948
San→Hin,enc_content_frac,7,0.948
San→Hin,enc_content_frac,8,0.95
San→Hin,enc_content_frac,9,0.9576
San→Hin,enc_content_frac,10,0.9624
San→Hin,enc_content_frac,11,0.961
San→Hin,enc_content_frac,12,0.9648
San→Hin,dec_cross_frac,1,0.9848
San→Hin,dec_cross_frac,2,0.9791
San→Hin,dec_cross_frac,3,0.983
San→Hin,dec_cross_frac,4,0.9827
San→Hin,dec_cross_frac,5,0.989
San→Hin,dec_cross_frac,6,0.9869
San→Hin,dec_cross_frac,7,0.9885
San→Hin,dec_cross_frac,8,0.99
San→Hin,dec_cross_frac,9,0.9788
San→Hin,dec_cross_frac,10,0.9692
San→Hin,dec_cross_frac,11,0.9669
San→Hin,dec_cross_frac,12,0.9653
San→Hin,dec_self_ent,1,0.9297
San→Hin,dec_self_ent,2,0.7262
San→Hin,dec_self_ent,3,0.7416
San→Hin,dec_self_ent,4,0.8973
San→Hin,dec_self_ent,5,0.7261
San→Hin,dec_self_ent,6,0.8241
San→Hin,dec_self_ent,7,0.7551
San→Hin,dec_self_ent,8,0.7694
San→Hin,dec_self_ent,9,0.8404
San→Hin,dec_self_ent,10,0.8244
San→Hin,dec_self_ent,11,0.7365
San→Hin,dec_self_ent,12,0.7787
San→Kan,enc_content_frac,1,0.9241
San→Kan,enc_content_frac,2,0.9467
San→Kan,enc_content_frac,3,0.9569
San→Kan,enc_content_frac,4,0.9603
San→Kan,enc_content_frac,5,0.9519
San→Kan,enc_content_frac,6,0.9505
San→Kan,enc_content_frac,7,0.9491
San→Kan,enc_content_frac,8,0.9509
San→Kan,enc_content_frac,9,0.9611
San→Kan,enc_content_frac,10,0.9664
San→Kan,enc_content_frac,11,0.9694
San→Kan,enc_content_frac,12,0.9696
San→Kan,dec_cross_frac,1,0.9863
San→Kan,dec_cross_frac,2,0.9806
San→Kan,dec_cross_frac,3,0.9826
San→Kan,dec_cross_frac,4,0.9823
San→Kan,dec_cross_frac,5,0.9873
San→Kan,dec_cross_frac,6,0.9852
San→Kan,dec_cross_frac,7,0.9855
San→Kan,dec_cross_frac,8,0.9866
San→Kan,dec_cross_frac,9,0.9796
San→Kan,dec_cross_frac,10,0.9732
San→Kan,dec_cross_frac,11,0.9701
San→Kan,dec_cross_frac,12,0.9745
San→Kan,dec_self_ent,1,0.9181
San→Kan,dec_self_ent,2,0.6803
San→Kan,dec_self_ent,3,0.7748
San→Kan,dec_self_ent,4,0.8881
San→Kan,dec_self_ent,5,0.76
San→Kan,dec_self_ent,6,0.8351
San→Kan,dec_self_ent,7,0.7487
San→Kan,dec_self_ent,8,0.8004
San→Kan,dec_self_ent,9,0.8824
San→Kan,dec_self_ent,10,0.9435
San→Kan,dec_self_ent,11,0.892
San→Kan,dec_self_ent,12,0.896
Hin→San,enc_content_frac,1,0.9448
Hin→San,enc_content_frac,2,0.9628
Hin→San,enc_content_frac,3,0.9706
Hin→San,enc_content_frac,4,0.968
Hin→San,enc_content_frac,5,0.9658
Hin→San,enc_content_frac,6,0.9634
Hin→San,enc_content_frac,7,0.9585
Hin→San,enc_content_frac,8,0.9613
Hin→San,enc_content_frac,9,0.968
Hin→San,enc_content_frac,10,0.97
Hin→San,enc_content_frac,11,0.9707
Hin→San,enc_content_frac,12,0.97
Hin→San,dec_cross_frac,1,0.9879
Hin→San,dec_cross_frac,2,0.9851
Hin→San,dec_cross_frac,3,0.9857
Hin→San,dec_cross_frac,4,0.9852
Hin→San,dec_cross_frac,5,0.9893
Hin→San,dec_cross_frac,6,0.9887
Hin→San,dec_cross_frac,7,0.9887
Hin→San,dec_cross_frac,8,0.992
Hin→San,dec_cross_frac,9,0.9869
Hin→San,dec_cross_frac,10,0.9825
Hin→San,dec_cross_frac,11,0.9774
Hin→San,dec_cross_frac,12,0.9774
Hin→San,dec_self_ent,1,1.1589
Hin→San,dec_self_ent,2,0.8262
Hin→San,dec_self_ent,3,0.8349
Hin→San,dec_self_ent,4,1.0424
Hin→San,dec_self_ent,5,0.8121
Hin→San,dec_self_ent,6,0.9596
Hin→San,dec_self_ent,7,0.895
Hin→San,dec_self_ent,8,0.8428
Hin→San,dec_self_ent,9,1.0472
Hin→San,dec_self_ent,10,1.0308
Hin→San,dec_self_ent,11,0.9489
Hin→San,dec_self_ent,12,0.9873
Hin→Kan,enc_content_frac,1,0.9299
Hin→Kan,enc_content_frac,2,0.949
Hin→Kan,enc_content_frac,3,0.9611
Hin→Kan,enc_content_frac,4,0.9592
Hin→Kan,enc_content_frac,5,0.9524
Hin→Kan,enc_content_frac,6,0.9458
Hin→Kan,enc_content_frac,7,0.9444
Hin→Kan,enc_content_frac,8,0.9534
Hin→Kan,enc_content_frac,9,0.9584
Hin→Kan,enc_content_frac,10,0.967
Hin→Kan,enc_content_frac,11,0.9643
Hin→Kan,enc_content_frac,12,0.9639
Hin→Kan,dec_cross_frac,1,0.9867
Hin→Kan,dec_cross_frac,2,0.98
Hin→Kan,dec_cross_frac,3,0.9822
Hin→Kan,dec_cross_frac,4,0.9806
Hin→Kan,dec_cross_frac,5,0.9872
Hin→Kan,dec_cross_frac,6,0.9821
Hin→Kan,dec_cross_frac,7,0.9847
Hin→Kan,dec_cross_frac,8,0.9862
Hin→Kan,dec_cross_frac,9,0.9772
Hin→Kan,dec_cross_frac,10,0.9663
Hin→Kan,dec_cross_frac,11,0.9643
Hin→Kan,dec_cross_frac,12,0.9705
Hin→Kan,dec_self_ent,1,0.9342
Hin→Kan,dec_self_ent,2,0.6975
Hin→Kan,dec_self_ent,3,0.781
Hin→Kan,dec_self_ent,4,0.8449
Hin→Kan,dec_self_ent,5,0.7584
Hin→Kan,dec_self_ent,6,0.8246
Hin→Kan,dec_self_ent,7,0.7657
Hin→Kan,dec_self_ent,8,0.7811
Hin→Kan,dec_self_ent,9,0.8633
Hin→Kan,dec_self_ent,10,0.9141
Hin→Kan,dec_self_ent,11,0.8329
Hin→Kan,dec_self_ent,12,0.9009
Kan→San,enc_content_frac,1,0.9443
Kan→San,enc_content_frac,2,0.959
Kan→San,enc_content_frac,3,0.971
Kan→San,enc_content_frac,4,0.9688
Kan→San,enc_content_frac,5,0.9593
Kan→San,enc_content_frac,6,0.9571
Kan→San,enc_content_frac,7,0.9559
Kan→San,enc_content_frac,8,0.9601
Kan→San,enc_content_frac,9,0.9677
Kan→San,enc_content_frac,10,0.974
Kan→San,enc_content_frac,11,0.9745
Kan→San,enc_content_frac,12,0.9721
Kan→San,dec_cross_frac,1,0.9894
Kan→San,dec_cross_frac,2,0.9857
Kan→San,dec_cross_frac,3,0.9885
Kan→San,dec_cross_frac,4,0.9889
Kan→San,dec_cross_frac,5,0.9892
Kan→San,dec_cross_frac,6,0.9872
Kan→San,dec_cross_frac,7,0.9885
Kan→San,dec_cross_frac,8,0.9916
Kan→San,dec_cross_frac,9,0.9855
Kan→San,dec_cross_frac,10,0.9801
Kan→San,dec_cross_frac,11,0.9764
Kan→San,dec_cross_frac,12,0.9783
Kan→San,dec_self_ent,1,1.0259
Kan→San,dec_self_ent,2,0.7696
Kan→San,dec_self_ent,3,0.7729
Kan→San,dec_self_ent,4,0.9642
Kan→San,dec_self_ent,5,0.7626
Kan→San,dec_self_ent,6,0.8756
Kan→San,dec_self_ent,7,0.8247
Kan→San,dec_self_ent,8,0.8022
Kan→San,dec_self_ent,9,0.9516
Kan→San,dec_self_ent,10,0.9004
Kan→San,dec_self_ent,11,0.8062
Kan→San,dec_self_ent,12,0.8614
Kan→Hin,enc_content_frac,1,0.9538
Kan→Hin,enc_content_frac,2,0.9601
Kan→Hin,enc_content_frac,3,0.9709
Kan→Hin,enc_content_frac,4,0.9725
Kan→Hin,enc_content_frac,5,0.964
Kan→Hin,enc_content_frac,6,0.9637
Kan→Hin,enc_content_frac,7,0.9613
Kan→Hin,enc_content_frac,8,0.9733
Kan→Hin,enc_content_frac,9,0.9758
Kan→Hin,enc_content_frac,10,0.9795
Kan→Hin,enc_content_frac,11,0.9814
Kan→Hin,enc_content_frac,12,0.98
Kan→Hin,dec_cross_frac,1,0.9896
Kan→Hin,dec_cross_frac,2,0.9848
Kan→Hin,dec_cross_frac,3,0.9849
Kan→Hin,dec_cross_frac,4,0.9865
Kan→Hin,dec_cross_frac,5,0.9906
Kan→Hin,dec_cross_frac,6,0.9857
Kan→Hin,dec_cross_frac,7,0.9857
Kan→Hin,dec_cross_frac,8,0.9872
Kan→Hin,dec_cross_frac,9,0.9746
Kan→Hin,dec_cross_frac,10,0.9605
Kan→Hin,dec_cross_frac,11,0.9556
Kan→Hin,dec_cross_frac,12,0.9609
Kan→Hin,dec_self_ent,1,1.0005
Kan→Hin,dec_self_ent,2,0.7723
Kan→Hin,dec_self_ent,3,0.798
Kan→Hin,dec_self_ent,4,0.9413
Kan→Hin,dec_self_ent,5,0.7573
Kan→Hin,dec_self_ent,6,0.8362
Kan→Hin,dec_self_ent,7,0.7508
Kan→Hin,dec_self_ent,8,0.7566
Kan→Hin,dec_self_ent,9,0.8267
Kan→Hin,dec_self_ent,10,0.8298
Kan→Hin,dec_self_ent,11,0.7607
Kan→Hin,dec_self_ent,12,0.82
