lang,component,layer,mean_cos
Hindi,encoder,1,0.405
Hindi,encoder,2,0.3663
Hindi,encoder,3,0.3737
Hindi,encoder,4,0.4159
Hindi,encoder,5,0.4357
Hindi,encoder,6,0.4738
Hindi,encoder,7,0.4553
Hindi,encoder,8,0.4511
Hindi,encoder,9,0.4499
Hindi,encoder,10,0.4752
Hindi,encoder,11,0.4784
Hindi,encoder,12,0.4173
Hindi,decoder,1,0.5111
Hindi,decoder,2,0.4516
Hindi,decoder,3,0.5463
Hindi,decoder,4,0.5753
Hindi,decoder,5,0.5776
Hindi,decoder,6,0.6021
Hindi,decoder,7,0.6243
Hindi,decoder,8,0.6532
Hindi,decoder,9,0.7264
Hindi,decoder,10,0.6977
Hindi,decoder,11,0.6808
Hindi,decoder,12,0.6599
Kannada,encoder,1,0.4494
Kannada,encoder,2,0.3624
Kannada,encoder,3,0.3619
Kannada,encoder,4,0.4049
Kannada,encoder,5,0.4254
Kannada,encoder,6,0.4804
Kannada,encoder,7,0.4508
Kannada,encoder,8,0.4445
Kannada,encoder,9,0.4415
Kannada,encoder,10,0.4635
Kannada,encoder,11,0.4642
Kannada,encoder,12,0.392
Kannada,decoder,1,0.4976
Kannada,decoder,2,0.4205
Kannada,decoder,3,0.5467
Kannada,decoder,4,0.5824
Kannada,decoder,5,0.6035
Kannada,decoder,6,0.5984
Kannada,decoder,7,0.6416
Kannada,decoder,8,0.6775
Kannada,decoder,9,0.7654
Kannada,decoder,10,0.77
Kannada,decoder,11,0.7251
Kannada,decoder,12,0.6545
Sanskrit,encoder,1,0.3778
Sanskrit,encoder,2,0.3549
Sanskrit,encoder,3,0.3495
Sanskrit,encoder,4,0.3873
Sanskrit,encoder,5,0.4343
Sanskrit,encoder,6,0.488
Sanskrit,encoder,7,0.4606
Sanskrit,encoder,8,0.4428
Sanskrit,encoder,9,0.4352
Sanskrit,encoder,10,0.4735
Sanskrit,encoder,11,0.4818
Sanskrit,encoder,12,0.3797
Sanskrit,decoder,1,0.514
Sanskrit,decoder,2,0.4413
Sanskrit,decoder,3,0.5504
Sanskrit,decoder,4,0.5934
Sanskrit,decoder,5,0.601
Sanskrit,decoder,6,0.618
Sanskrit,decoder,7,0.6411
Sanskrit,decoder,8,0.7049
Sanskrit,decoder,9,0.7832
Sanskrit,decoder,10,0.81
Sanskrit,decoder,11,0.749
Sanskrit,decoder,12,0.6619
